City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
11,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
18,Kapaa,US,74.1,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Buala,SB,83.03,light rain,-8.145,159.5921,Maringe Lagoon Lodge
21,Thayetmyo,MM,88.83,clear sky,19.3167,95.1833,Htarwaya Thitsar Guest House
24,Bambous Virieux,MU,79.21,few clouds,-20.3428,57.7575,Casa Tia Villa
27,Vaini,TO,78.21,clear sky,-21.2,-175.2,Keleti Beach Resort
36,Atuona,PF,78.19,clear sky,-9.8,-139.0333,Villa Enata
41,Alofi,NU,78.06,broken clouds,-19.0595,-169.9187,Taloa Heights
45,Kavieng,PG,84.07,light rain,-2.5744,150.7967,Nusa Island Retreat
46,Makakilo City,US,75.56,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
54,Celestun,MX,76.24,few clouds,20.8667,-90.4,Posada Lilia
56,Thai Binh,VN,85.37,few clouds,20.45,106.3333,Sweden Hotel
57,Bengkulu,ID,80.71,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
69,Sinnamary,GF,77.67,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
71,Hirara,JP,77.58,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
76,Butaritari,KI,81.59,broken clouds,3.0707,172.7902,Isles Sunset Lodge
81,Tura,IN,77.11,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
82,Rosita,NI,71.55,overcast clouds,13.9268,-84.4032,Hospedaje Zeledón
84,Merauke,ID,84.33,moderate rain,-8.4667,140.3333,
89,Alta Floresta,BR,70.47,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
91,Inhambupe,BR,70.79,broken clouds,-11.7844,-38.3531,Hotel JVS
94,Rikitea,PF,74.17,moderate rain,-23.1203,-134.9692,People ThankYou
97,Victoria,HK,80.96,scattered clouds,22.2855,114.1577,Mini Central
100,Caravelas,BR,71.53,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
101,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,Le four à pain
105,Tonj,SS,81.63,scattered clouds,7.2737,28.6822,Lakan Hotel
106,Muli,MV,81.7,broken clouds,2.9167,73.5667,Medhufushi Island Resort
107,Hilo,US,72.25,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
108,Karratha,AU,79.92,few clouds,-20.7377,116.8463,ibis Styles Karratha
109,Faanui,PF,79.95,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
113,Gbadolite,CD,73.56,broken clouds,4.2833,21.0167,Zenic
114,Mangrol,IN,86.09,few clouds,21.1167,70.1167,Hotel The Royal Honours
115,Maceio,BR,74.64,light rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
117,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
118,Mount Isa,AU,87.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
129,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
130,Ca Mau,VN,86.0,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
132,Sao Filipe,CV,77.13,broken clouds,14.8961,-24.4956,Hotel Xaguate
138,Mocuba,MZ,84.31,clear sky,-16.8392,36.9856,Phama Lodge
140,Loa Janan,ID,87.33,light rain,-0.583,117.095,Kost Garuda
148,Koppies,ZA,75.6,clear sky,-27.2418,27.5742,Friesland Hotel
155,Namatanai,PG,83.1,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
156,Itarema,BR,77.68,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
165,Along,IN,78.58,broken clouds,28.1667,94.7667,Hotel West
166,Port Blair,IN,78.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
171,Amahai,ID,85.59,light rain,-3.3333,128.9167,HOTEL ISABELA
172,Arraial Do Cabo,BR,71.15,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
177,Waingapu,ID,86.85,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
178,Dingle,PH,84.04,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
183,Lorengau,PG,84.43,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
186,Gorontalo,ID,85.78,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
187,Pouembout,NC,79.93,overcast clouds,-21.1333,164.9,Camping de Tipenga
188,Kerema,PG,85.12,overcast clouds,-7.9631,145.7785,Frena Lodge
190,Bonfim,BR,78.4,overcast clouds,3.0833,-59.95,
191,Tecoanapa,MX,76.42,broken clouds,16.5167,-98.75,Hotel Manglares
192,Nago,JP,79.23,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
195,Kahului,US,77.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
196,Hithadhoo,MV,81.75,overcast clouds,-0.6,73.0833,Scoop Guest House
199,Souillac,MU,75.76,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
201,Mahebourg,MU,79.25,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
205,Lazaro Cardenas,MX,75.47,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
207,Isangel,VU,81.14,overcast clouds,-19.55,169.2667,Tanna Lodge
209,Bhawanipatna,IN,78.33,clear sky,19.9,83.1667,Bhagirathi inn
210,Eyl,SO,82.54,few clouds,7.9803,49.8164,EYL AQUE SYSTEM
211,Issenye,TZ,72.55,overcast clouds,-2.0,34.3333,
213,Maxixe,MZ,82.33,clear sky,-23.8597,35.3472,Oceano
215,Angoche,MZ,83.93,broken clouds,-16.2325,39.9086,Guest House HESADA
216,Zacatepec,MX,75.42,clear sky,18.65,-99.2,Villas El Paraíso
217,Pemangkat,ID,84.2,scattered clouds,1.1667,108.9667,Hotel Duyung Permai 2
223,Catamarca,AR,82.06,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
228,Nanakuli,US,76.95,clear sky,21.3906,-158.1547,Camp Pālehua
229,Puerto Ayacucho,VE,73.69,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
239,Kabo,CF,73.67,overcast clouds,7.6994,18.629,
250,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
253,Cravo Norte,CO,75.11,light rain,6.3017,-70.2041,Hotel Potosí Los Mirtos
255,Sao Miguel Do Araguaia,BR,71.89,clear sky,-13.275,-50.1628,Hotel Executivo Palace
256,Poum,NC,80.53,overcast clouds,-20.2333,164.0167,
259,Buchanan,LR,74.75,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
263,Tezu,IN,78.21,clear sky,27.9167,96.1667,Circuit House
264,Kavaratti,IN,82.0,broken clouds,10.5669,72.642,Green leaf
266,Yulara,AU,83.25,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
273,Paka,MY,87.39,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
275,Alice Springs,AU,83.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
277,Sibolga,ID,77.76,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
278,Soyo,AO,76.08,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
281,Acapulco,MX,78.1,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
284,Beloha,MG,80.01,clear sky,-25.1667,45.05,
285,Saint-Joseph,RE,77.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
288,Ban Tak,TH,86.18,scattered clouds,17.0432,99.0813,Bansuansiriwat
299,Ipojuca,BR,75.11,broken clouds,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
300,Cumana,VE,77.72,overcast clouds,10.4635,-64.1775,Posada Acuarela Los Roques
301,Labuhan,ID,86.41,overcast clouds,-6.8844,112.2051,DoubleFAG
302,Tabou,CI,76.05,scattered clouds,4.423,-7.3528,hotêl doufoulougou
303,Benjamin Constant,BR,71.85,heavy intensity rain,-4.3831,-70.0311,CASA AVALIADA
304,Bucerias,MX,72.99,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
305,Marsh Harbour,BS,78.67,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
308,Cururupu,BR,74.95,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
310,Nhulunbuy,AU,86.61,light rain,-12.2333,136.7667,East Arnhem Real Estate
311,Harper,LR,76.55,scattered clouds,4.375,-7.7169,Screensaver
317,Lolodorf,CM,70.54,light rain,3.2333,10.7333,Auberge la cité
320,Miri,MY,84.33,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
322,Jalna,IN,81.61,clear sky,19.8333,75.8833,HOTEL SHIVNERI PALACE
325,Turbo,CO,75.69,overcast clouds,8.0937,-76.7269,Hotel Plaza Manfortt
326,Meulaboh,ID,81.68,overcast clouds,4.1363,96.1285,Kost Pria
327,Xochistlahuaca,MX,71.58,broken clouds,16.7833,-98.25,La frontera
328,Port Hedland,AU,82.45,few clouds,-20.3167,118.5667,The Esplanade Hotel
330,Bela,IN,79.61,few clouds,25.9333,81.9833,Raj Bhawan
333,Pochutla,MX,74.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
342,Cabo San Lucas,MX,73.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
345,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
346,Auki,SB,81.57,broken clouds,-8.7676,160.7034,Auki Motel
348,Mazabuka,ZM,77.94,few clouds,-15.856,27.748,kachali king traders
350,Mbandaka,CD,71.02,overcast clouds,0.0487,18.2603,Guest House Epervier
352,Dawei,MM,89.67,overcast clouds,14.0833,98.2,Hotel Dawei
357,Kirakira,SB,81.99,light rain,-10.4544,161.9205,SanBiz Lodge
358,Matara,LK,85.42,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
359,Fuzhou,CN,80.8,scattered clouds,26.0614,119.3061,Shangri La Hotel Fuzhou
360,Lungi,SL,72.21,overcast clouds,9.2212,-12.6831,Lungi Airport Lodge
364,Koumra,TD,75.07,broken clouds,8.9126,17.5539,Yamtoide house koumra
367,Atar,MR,72.19,clear sky,20.5169,-13.0499,Oumou Elghoura
372,Samarai,PG,85.77,overcast clouds,-10.6167,150.6667,Nuli Sapi
377,Jasrana,IN,76.44,clear sky,27.25,78.6833,नगला नेती
378,Wenling,CN,71.8,broken clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
384,Airai,TL,75.6,overcast clouds,-8.9266,125.4092,
390,Gaya,IN,82.31,haze,24.7833,85.0,Hotel Viraat Inn Gaya
391,Itaituba,BR,77.14,broken clouds,-4.2761,-55.9836,Hotel Campos
392,Najran,SA,74.05,few clouds,17.4924,44.1277,محمد هادي ال فطيح
393,Takoradi,GH,77.04,scattered clouds,4.8845,-1.7554,Raybow International Hotel
394,Katherine,AU,79.12,light rain,-14.4667,132.2667,Pine Tree Motel
395,Gympie,AU,75.04,broken clouds,-26.1898,152.665,Mary River Motor Inn
396,Buraydah,SA,70.25,overcast clouds,26.326,43.975,Mövenpick Qassim
403,Jatiroto,ID,85.69,light rain,-7.8833,111.1167,Intan Saraswati
404,Jibuti,DJ,77.58,clear sky,11.5,42.5,Orchid Main Camp Goubet
408,Campo Maior,BR,76.05,overcast clouds,-4.8278,-42.1686,Elite Hotel
411,Nioro,GM,74.01,broken clouds,13.35,-15.75,
415,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
421,Turan,VN,82.38,broken clouds,16.0678,108.2208,Grand Mercure Danang
422,Sikandra Rao,IN,75.88,clear sky,27.7,78.4,Murli Krishna Mangal Dham
425,Emerald,AU,87.01,broken clouds,-23.5333,148.1667,Emerald Inn
429,Trairi,BR,78.87,broken clouds,-3.2778,-39.2689,janelas do mar
431,Ormara,PK,80.46,clear sky,25.2088,64.6357,Kenara Colony House for Rent
432,Manokwari,ID,83.71,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
433,Vargem Grande,BR,73.4,overcast clouds,-3.5431,-43.9158,Pousada São Raimundo
435,Doha,QA,85.98,clear sky,25.2867,51.5333,Mövenpick Doha
443,Biltine,TD,71.28,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
448,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
450,Gidam,IN,81.37,clear sky,18.9833,81.4,Dhanshree Lodge And DormItory
451,Yarada,IN,86.32,haze,17.65,83.2667,Yarada Jungle Beach Resorts
453,Bubaque,GW,82.09,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
454,Bambanglipuro,ID,84.06,light rain,-7.95,110.2833,Puri Brata
458,Jinji,CN,82.67,broken clouds,23.2281,110.8261,
459,Thap Than,TH,86.5,scattered clouds,15.4606,99.8917,ขวัญเรือน ขำสุข
460,Biak,ID,78.66,overcast clouds,-0.9131,122.8766,Penginapan Kim
467,Tuni,IN,81.03,few clouds,17.35,82.55,Sai Krishna Lodge
469,Grand Gaube,MU,78.39,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
471,Sawakin,SD,86.25,scattered clouds,19.1059,37.3321,فندق الدويم
474,Bondo,CD,71.24,overcast clouds,3.8146,23.6866,
475,Cam Ranh,VN,87.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
479,Macau,MO,81.86,few clouds,22.2006,113.5461,Grand Emperor Hotel
481,Youkounkoun,GN,72.63,overcast clouds,12.5333,-13.1333,
489,Tete,MZ,82.49,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
490,Sumbe,AO,75.88,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
493,Osmena,PH,84.27,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
495,Saint-Louis,SN,80.96,broken clouds,16.3333,-15.0,
498,Marzuq,YE,73.58,clear sky,14.4,46.4667,حيد القفلة
504,Terre-De-Bas,GP,72.91,clear sky,15.8501,-61.6442,Hôtel Bois Joli
505,Teknaf,BD,84.36,clear sky,20.8624,92.3058,Forestry Guesthouse
511,Poya,NC,79.79,overcast clouds,-21.35,165.15,
512,Ocara,BR,73.51,scattered clouds,-4.4908,-38.5967,Pousada familiar
513,Katobu,ID,87.15,overcast clouds,-4.9408,122.5276,La Ode Husein
516,Ngawi,ID,87.35,broken clouds,-7.4038,111.4461,"""G.W.A. KOST"" NGAWI (dpn Klurahan KETANGGI)"
518,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
520,Madang,PG,85.44,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
521,Mafinga,TZ,80.01,scattered clouds,-7.25,35.0667,
523,Quixada,BR,74.28,few clouds,-4.9714,-39.0153,Hotel Vale das Pedras
531,Fandriana,MG,73.2,light rain,-20.2333,47.3833,Fandriana
536,Bandar-E Lengeh,IR,82.51,clear sky,26.5579,54.8807,کافی نت پارس
537,Ixtapa,MX,72.23,clear sky,20.7,-105.2,hotel la terminal
541,Marawi,PH,73.15,light rain,7.9986,124.2928,Derogongan Residence
542,Pedro Carbo,EC,70.07,overcast clouds,-1.8333,-80.2333,Centro turístico y hostería oasis pedro carbo
547,Callaguip,PH,89.62,few clouds,18.0714,120.4867,Pangil Beach Resort
558,Kosamba,IN,89.31,clear sky,21.4833,72.95,Ajay nanjibhai chavda
559,Mitsamiouli,KM,79.95,clear sky,-11.3847,43.2844,Foyer ADM
564,Moron,AR,78.49,overcast clouds,-34.6534,-58.6198,Hotel Morón
566,Vao,NC,76.68,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
568,Victoria Point,AU,75.15,scattered clouds,-27.5833,153.3,Bay Retreat Motel
570,Catuday,PH,84.9,few clouds,16.2923,119.8062,Benjie's Kubo & Cottages
575,Kailua,US,76.98,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
579,Kiunga,PG,85.32,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
584,Tautira,PF,77.9,broken clouds,-17.7333,-149.15,Pension Oaoa
588,Banjar,ID,86.34,broken clouds,-8.19,114.9675,The Hamsa Resort
590,Sola,VU,82.54,few clouds,-13.8833,167.55,Leumerus Bungalows
591,Jucas,BR,74.19,scattered clouds,-6.5253,-39.5275,Pousada Brisa do Rio - Jucás
592,Lagos,NG,79.12,overcast clouds,6.5833,3.75,
594,Wattegama,LK,84.83,broken clouds,6.7989,81.4808,
608,Linguere,SN,77.59,overcast clouds,15.3953,-15.1193,AYO Casablanca
610,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
611,Livingstone,ZM,81.28,few clouds,-17.8419,25.8543,Gloria's Bed and Breakfast
616,Pathalgaon,IN,78.01,clear sky,22.5667,83.4667,Queens Park Marriage Garden
617,Bua Yai,TH,89.11,scattered clouds,15.5855,102.4259,Rabiang Mai Resort
618,Bozoum,CF,71.11,broken clouds,6.3193,16.3799,
619,Gushikawa,JP,78.39,broken clouds,26.3544,127.8686,Kirari Guest House
627,Pandan,PH,82.44,moderate rain,14.0453,124.1694,Bonifacio Lodge
633,Port Augusta,AU,78.46,clear sky,-32.5,137.7667,Majestic Oasis Apartments
634,Dhidhdhoo,MV,81.9,scattered clouds,6.8833,73.1,Dhidhoo beach
635,Vung Tau,VN,84.2,overcast clouds,10.346,107.0843,Seaside Resort
636,Abu Dhabi,AE,84.22,clear sky,24.4667,54.3667,Beach Rotana
650,Ambilobe,MG,84.99,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
651,Antalaha,MG,76.59,light rain,-14.9003,50.2788,Hotel Vitasoa
654,Singaraja,ID,85.12,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
660,Mindelo,CV,72.95,few clouds,16.8901,-24.9804,Hotel Gaudi
663,Tuy Hoa,VN,81.43,broken clouds,13.0833,109.3,Hotel Sài Gòn-Phú Yên
664,Touros,BR,76.91,clear sky,-5.1989,-35.4608,INN NEW HORIZON
668,Keti Bandar,PK,83.57,clear sky,24.1447,67.4497,Haji laloo memon house
669,Da Lat,VN,72.73,broken clouds,11.9465,108.4419,YK Home Villa Dalat
672,Lahaina,US,77.81,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
675,Tonantins,BR,72.28,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
679,Nosy Varika,MG,79.18,broken clouds,-20.5833,48.5333,Hotel Volazara
680,Kampong Cham,KH,88.29,broken clouds,11.9934,105.4635,7 Makara Hotel
683,Minab,IR,82.04,clear sky,27.1467,57.0801,Bam campground
684,Dahod,IN,82.67,clear sky,22.8333,74.2667,Hotel Laxmi Inn
686,Inhambane,MZ,81.7,clear sky,-23.865,35.3833,Oceano
689,Ballitoville,ZA,71.74,overcast clouds,-29.539,31.2144,Hampshire Hotel-Ballito
690,Puerto Baquerizo Moreno,EC,70.84,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
691,Veraval,IN,86.14,scattered clouds,20.9,70.3667,Lords Inn Somnath
697,Bakel,SN,77.85,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
700,Sao Gabriel Da Cachoeira,BR,71.82,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
705,Noumea,NC,80.58,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
707,Cocobeach,GA,75.96,light rain,1.0002,9.5823,Hotel Esperance
708,Boa Vista,BR,76.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
716,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
